Date,Bullish,Neutral,Bearish,Bull-Bear Spread,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
7/19/2018,0.346633,0.40399,0.249377,0.097256,2816.76,2770.77,2815.62
7/12/2018,0.430508,0.277966,0.291525,0.138983,2795.58,2711.16,2774.02
7/5/2018,0.278552,0.328691,0.392758,-0.114206,2746.09,2691.99,2713.22
6/28/2018,0.284483,0.307471,0.408046,-0.123563,2774.86,2698.67,2699.63
6/21/2018,0.387187,0.350975,0.261838,0.125349,2791.47,2743.19,2767.32
6/14/2018,0.447802,0.335165,0.217033,0.230769,2791.47,2748.46,2775.63
6/7/2018,0.389313,0.343511,0.267176,0.122137,2772.39,2700.68,2772.35
5/31/2018,0.350181,0.386282,0.263538,0.086643,2742.24,2676.81,2724.01
5/24/2018,0.385621,0.362745,0.251634,0.133987,2742.24,2709.18,2733.29
5/17/2018,0.366755,0.427441,0.205805,0.16095,2742.1,2674.14,2722.46
5/10/2018,0.335106,0.409574,0.255319,0.079787,2701.27,2594.62,2697.79
5/3/2018,0.283951,0.41358,0.302469,-0.018518,2682.87,2612.67,2635.67
4/26/2018,0.369085,0.375394,0.255521,0.113564,2717.49,2612.67,2639.4
4/19/2018,0.377834,0.329975,0.292191,0.085643,2717.49,2639.25,2708.64
4/12/2018,0.26087,0.311594,0.427536,-0.166666,2672.08,2573.61,2642.19
4/5/2018,0.318966,0.314655,0.366379,-0.047413,2674.78,2553.8,2644.69
3/29/2018,0.319361,0.327345,0.353293,-0.033932,2739.14,2585.89,2605
3/22/2018,0.332344,0.382789,0.284866,0.047478,2777.11,2694.59,2711.93
3/15/2018,0.368421,0.418283,0.213296,0.155125,2801.9,2701.74,2749.48
3/8/2018,0.264026,0.452145,0.283828,-0.019802,2761.52,2647.32,2726.8
3/1/2018,0.372832,0.393064,0.234104,0.138728,2789.15,2697.77,2713.83
2/22/2018,0.446512,0.325581,0.227907,0.218605,2754.42,2637.08,2701.33
2/15/2018,0.485194,0.300683,0.214123,0.271071,2727.67,2532.69,2698.63
2/8/2018,0.370277,0.279597,0.350126,0.020151,2839.26,2593.07,2681.66
2/1/2018,0.447712,0.264706,0.287582,0.16013,2872.87,2813.04,2823.81
1/25/2018,0.454545,0.305195,0.24026,0.214285,2852.97,2778.38,2837.54
1/18/2018,0.541133,0.244973,0.213894,0.327239,2807.54,2736.06,2802.56
1/11/2018,0.486726,0.262537,0.250737,0.235989,2759.14,2697.77,2748.23
1/4/2018,0.597531,0.246914,0.155556,0.441975,2714.37,2673.61,2713.06
12/28/2017,0.526455,0.267196,0.206349,0.320106,2694.44,2676.11,2682.62
12/21/2017,0.504975,0.238806,0.256219,0.248756,2694.97,2652.01,2679.25
12/14/2017,0.45,0.26875,0.28125,0.16875,2671.88,2624.75,2662.85
12/7/2017,0.368771,0.289037,0.342193,0.026578,2665.19,2620.32,2629.27
11/30/2017,0.359459,0.324324,0.316216,0.043243,2634.89,2589.17,2626.07
11/23/2017,0.35493,0.35493,0.290141,0.064789,2601.19,2557.45,2602.42
11/16/2017,0.293478,0.354348,0.352174,-0.058696,2595.47,2557.45,2564.62
11/9/2017,0.451049,0.318182,0.230769,0.22028,2597.02,2566.17,2594.38
11/2/2017,0.450549,0.263736,0.285714,0.164835,2588.4,2544,2579.36
10/26/2017,0.396396,0.273273,0.33033,0.066066,2578.29,2544,2557.15
10/19/2017,0.37931,0.341379,0.27931,0.1,2564.11,2547.95,2561.26
10/12/2017,0.397661,0.333333,0.269006,0.128655,2555.24,2531.8,2555.24
10/5/2017,0.356,0.316,0.328,0.028,2540.53,2495.91,2537.74
9/28/2017,0.333333,0.37931,0.287356,0.045977,2511.75,2488.03,2507.04
9/21/2017,0.401361,0.326531,0.272109,0.129252,2508.85,2491.35,2508.24
9/14/2017,0.412879,0.367424,0.219697,0.193182,2498.37,2459.2,2498.37
9/7/2017,0.292776,0.34981,0.357414,-0.064638,2480.38,2428.2,2465.54
8/31/2017,0.25,0.351064,0.398936,-0.148936,2460.31,2428.2,2457.59
8/24/2017,0.280992,0.336088,0.38292,-0.101928,2474.93,2417.35,2444.04
