Date,TNX
7/22/2013,2.488
7/23/2013,2.516
7/24/2013,2.588
7/25/2013,2.607
7/26/2013,2.561
7/29/2013,2.585
7/30/2013,2.603
7/31/2013,2.593
8/1/2013,2.723
8/2/2013,2.602
8/5/2013,2.64
8/6/2013,2.642
8/7/2013,2.6
8/8/2013,2.587
8/9/2013,2.58
8/12/2013,2.605
8/13/2013,2.715
8/14/2013,2.712
8/15/2013,2.755
8/16/2013,2.829
8/19/2013,2.884
8/20/2013,2.814
8/21/2013,2.855
8/22/2013,2.901
8/23/2013,2.818
8/26/2013,2.805
8/27/2013,2.721
8/28/2013,2.782
8/29/2013,2.751
8/30/2013,2.749
9/3/2013,2.848
9/4/2013,2.897
9/5/2013,2.979
9/6/2013,2.938
9/9/2013,2.897
9/10/2013,2.959
9/11/2013,2.92
9/12/2013,2.907
9/13/2013,2.898
9/16/2013,2.874
9/17/2013,2.853
9/18/2013,2.708
9/19/2013,2.748
9/20/2013,2.732
9/23/2013,2.714
9/24/2013,2.653
9/25/2013,2.614
9/26/2013,2.643
9/27/2013,2.619
9/30/2013,2.615
10/1/2013,2.646
10/2/2013,2.626
10/3/2013,2.606
10/4/2013,2.652
10/7/2013,2.634
10/8/2013,2.636
10/9/2013,2.65
10/10/2013,2.685
10/11/2013,2.682
10/14/2013,2.691
10/15/2013,2.72
10/16/2013,2.671
10/17/2013,2.587
10/18/2013,2.589
10/21/2013,2.609
10/22/2013,2.512
10/23/2013,2.485
10/24/2013,2.522
10/25/2013,2.503
10/28/2013,2.512
10/29/2013,2.507
10/30/2013,2.527
10/31/2013,2.542
11/1/2013,2.62
11/4/2013,2.602
11/5/2013,2.662
11/6/2013,2.64
11/7/2013,2.613
11/8/2013,2.746
11/11/2013,2.751
11/12/2013,2.768
11/13/2013,2.725
11/14/2013,2.702
11/15/2013,2.709
11/18/2013,2.678
11/19/2013,2.712
11/20/2013,2.792
11/21/2013,2.784
11/22/2013,2.752
11/25/2013,2.741
11/26/2013,2.696
11/27/2013,2.736
11/29/2013,2.741
12/2/2013,2.801
12/3/2013,2.775
12/4/2013,2.841
12/5/2013,2.862
12/6/2013,2.883
12/9/2013,2.857
12/10/2013,2.797
12/11/2013,2.844
12/12/2013,2.877
12/13/2013,2.868
12/16/2013,2.877
12/17/2013,2.843
12/18/2013,2.885
12/19/2013,2.925
12/20/2013,2.887
12/23/2013,2.929
12/24/2013,2.983
12/26/2013,2.99
12/27/2013,3.006
12/30/2013,2.976
12/31/2013,3.026
1/2/2014,2.985
1/3/2014,2.995
1/6/2014,2.961
1/7/2014,2.937
1/8/2014,2.993
1/9/2014,2.963
