Date,VIX
7/22/2013,12.29
7/23/2013,12.66
7/24/2013,13.18
7/25/2013,12.97
7/26/2013,12.72
7/29/2013,13.39
7/30/2013,13.39
7/31/2013,13.45
8/1/2013,12.94
8/2/2013,11.98
8/5/2013,11.84
8/6/2013,12.72
8/7/2013,12.98
8/8/2013,12.73
8/9/2013,13.41
8/12/2013,12.81
8/13/2013,12.31
8/14/2013,13.04
8/15/2013,14.73
8/16/2013,14.37
8/19/2013,15.1
8/20/2013,14.91
8/21/2013,15.94
8/22/2013,14.76
8/23/2013,13.98
8/26/2013,14.99
8/27/2013,16.77
8/28/2013,16.49
8/29/2013,16.809999
8/30/2013,17.01
9/3/2013,16.610001
9/4/2013,15.88
9/5/2013,15.77
9/6/2013,15.85
9/9/2013,15.63
9/10/2013,14.53
9/11/2013,13.82
9/12/2013,14.29
9/13/2013,14.16
9/16/2013,14.38
9/17/2013,14.53
9/18/2013,13.59
9/19/2013,13.16
9/20/2013,13.12
9/23/2013,14.31
9/24/2013,14.08
9/25/2013,14.01
9/26/2013,14.06
9/27/2013,15.46
9/30/2013,16.6
10/1/2013,15.54
10/2/2013,16.6
10/3/2013,17.67
10/4/2013,16.74
10/7/2013,19.41
10/8/2013,20.34
10/9/2013,19.6
10/10/2013,16.48
10/11/2013,15.72
10/14/2013,16.07
10/15/2013,18.66
10/16/2013,14.71
10/17/2013,13.48
10/18/2013,13.04
10/21/2013,13.16
10/22/2013,13.33
10/23/2013,13.42
10/24/2013,13.2
10/25/2013,13.09
10/28/2013,13.31
10/29/2013,13.41
10/30/2013,13.65
10/31/2013,13.75
11/1/2013,13.28
11/4/2013,12.93
11/5/2013,13.27
11/6/2013,12.67
11/7/2013,13.91
11/8/2013,12.9
11/11/2013,12.53
11/12/2013,12.82
11/13/2013,12.52
11/14/2013,12.37
11/15/2013,12.19
11/18/2013,13.1
11/19/2013,13.39
11/20/2013,13.4
11/21/2013,12.66
11/22/2013,12.26
11/25/2013,12.79
11/26/2013,12.81
11/27/2013,12.98
11/29/2013,13.7
12/2/2013,14.23
12/3/2013,14.55
12/4/2013,14.7
12/5/2013,15.08
12/6/2013,13.79
12/9/2013,13.49
12/10/2013,13.91
12/11/2013,15.42
12/12/2013,15.54
12/13/2013,15.76
12/16/2013,16.030001
12/17/2013,16.209999
12/18/2013,13.8
12/19/2013,14.15
12/20/2013,13.79
12/23/2013,13.04
12/24/2013,12.48
12/26/2013,12.33
12/27/2013,12.46
12/30/2013,13.56
12/31/2013,13.72
1/2/2014,14.23
1/3/2014,13.76
1/6/2014,13.55
1/7/2014,12.92
1/8/2014,12.87
1/9/2014,12.89
1/10/2014,12.14
1/13/2014,13.28
1/14/2014,12.28
1/15/2014,12.28
1/16/2014,12.53
1/17/2014,12.44
1/21/2014,12.87
1/22/2014,12.84
1/23/2014,13.77
1/24/2014,18.139999
1/27/2014,17.42
1/28/2014,15.8
1/29/2014,17.35
1/30/2014,17.290001
1/31/2014,18.41
2/3/2014,21.440001
2/4/2014,19.110001
2/5/2014,19.950001
2/6/2014,17.23
2/7/2014,15.29
2/10/2014,15.26
2/11/2014,14.51
2/12/2014,14.3
2/13/2014,14.14
2/14/2014,13.57
2/18/2014,13.87
2/19/2014,15.5
2/20/2014,14.79
2/21/2014,14.68
2/24/2014,14.23
2/25/2014,13.67
2/26/2014,14.35
2/27/2014,14.04
2/28/2014,14
3/3/2014,16
3/4/2014,14.1
3/5/2014,13.89
3/6/2014,14.21
3/7/2014,14.11
3/10/2014,14.2
3/11/2014,14.8
3/12/2014,14.47
3/13/2014,16.219999
3/14/2014,17.82
3/17/2014,15.64
3/18/2014,14.52
